latitude;longitude;Название;Описание;Адрес
56.795514;60.568639;Тонако;студия красоты;Решетникова проезд, 22а, 44 офис, 4 этаж
56.797862;60.765105;Ванесса;парикмахерская;Латвийская, 54, 1 этаж
56.827996;60.599795;Prestige;салон красоты;ТРЦ Гринвич, 8 Марта, 46, 2 этаж
56.819861;60.618352;Light Hands;студия красоты;Белинского, 108, 115 офис, 9 этаж
56.845465;60.617209;БАГИРА;салон красоты;Шарташская, 3, 1 этаж
56.816093;60.608937;Браво;салон красоты;Фурманова, 52, 1 этаж
56.844437;60.57856;НMTC International;салон красоты;Папанина, 18, 24 офис
56.830474;60.594819;Fringe_studio_ekb;салон красоты;Радищева, 20, 3 этаж
56.829761;60.614182;Линия красоты;салон;Онегин Плаза, Розы Люксембург, 49, 10 этаж
56.768367;60.601804;Парикмахерская;ИП Теюбов Н.Ф.;Санаторная, 26, 1 этаж
56.83584;60.571327;ARTBROWS;центр;Татищева, 6, 1 этаж
56.836431;60.594082;beauty bar Точка;;ТЦ Успенский, Вайнера, 10, 5 этаж
56.973642;60.564537;You-Key;тату-салон;Калинина, 64а, 1 этаж
56.814618;60.614893;Charm;студия красоты;Чапаева, 23, 1 этаж
